"","BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"17630",40710008,"H","SE","SE corner of MAIN ST and 39 AV","D","QE071",1031304.24905531,216238.51015805,1031261.87446815,216271.48679814,"MAIN ST","39 AV",11665,"POINT (-73.8301479438 40.7600759728)"
"17632",40780003,"H","NE","NE corner of POWELLS COVE BLVD and 161 ST","P","QE078",1039615.26753823,228700.3661398,1039563.34080482,228706.02918622,"POWELLS COVE BLVD","161 ST",12022,"POINT (-73.8000450155 40.7942322583)"
"17642",10810078,"H","NW","NW corner of 2 AV and E 60 ST","B","MN081",994227.98757806,216701.02301255,994230.57057814,216653.54279254,"2 AV","E 60 ST",4971,"POINT (-73.963981658 40.7614650348)"
"17644",40940082,"H","E","E corner of KEW GDNS RD and 82 RD","D","QW094",1031813.94455823,198522.68076038,1031764.34032673,198534.20928063,"KEW GDNS RD","82 RD",17483,"POINT (-73.8284333463 40.7114477608)"
"17646",10750046,"H","Direction TBD","Location Description T/K","P","MN075",995523.07586715,231027.8851068,995536.1865591,231052.07411976,"Street Name TBD","",4957,"POINT (-73.9592826353 40.8007869134)"
"17659",41310039,"H","SE","SE corner of HILLSIDE AV and 248 ST","D","QE131",1062145.86388114,207121.18849772,1062084.82791398,207144.43156147,"HILLSIDE AV","248 ST",101972,"POINT (-73.7189249627 40.7348334103)"
"17663",40210027,"H","NW","NW corner of ROOSEVELT AV and 60 ST","D","QW021",1010688.18103556,210949.3543978,1010708.5523859,210907.32429813,"ROOSEVELT AV","60 ST",21456,"POINT (-73.9045866246 40.7456442739)"
"17668",10710112,"H","NE","NE corner of AMSTERDAM AV and W 62 ST","B","MN071",988147.41935864,220658.0967913,988108.25966007,220654.75887147,"AMSTERDAM AV","W 62 ST",3197,"POINT (-73.9859288775 40.7723309484)"
"17670",10630257,"H","NW","NW corner of 3 AV and E 55 ST","B","MN063",992943.57315214,215869.45741847,992958.26997314,215819.79117921,"3 AV","E 55 ST",69203,"POINT (-73.9686191866 40.759183957)"
"17674",41210249,"H","Direction TBD","Location Description T/K","D","QE121",1041585.34594715,196534.0603938,1041569.3954427,196569.79024179,"Street Name TBD","",62798,"POINT (-73.7932042351 40.7059315586)"
"17675",40520058,"H","NW","Median at NW corner of MYRTLE AV and 71 AV","B","QW052",1012093.64672856,194570.71687955,1012187.37521565,194526.27110229,"MYRTLE AV","71 AV",28491,"POINT (-73.899582171 40.7006845956)"
"17676",31610102,"H","NW","NW corner of PITKIN AV and THOMAS S BOYLAND ST","D","BKN161",1008163.75662248,183166.2426413,1008202.60923506,183140.13573813,"PITKIN AV","THOMAS S BOYLAND ST",15942,"POINT (-73.9137957459 40.669393428)"
"17677",10510491,"H","Direction TBD","Location Description T/K","P","MN051",985301.02511706,211579.73929188,985326.50196458,211625.84742509,"Street Name TBD","",1935,"POINT (-73.9962068306 40.7474139803)"
"17679",10230134,"H","SE","SE corner of W 14 ST and HUDSON ST","B","MN023",982866.12152231,209102.19569054,982843.75280064,209141.98301254,"W 14 ST","HUDSON ST",19602,"POINT (-74.0049939336 40.7406136967)"
"17684",10510030,"H","NE","NE corner of 5 AV and E 22 ST","B","MN051",987084.54615632,209218.1373878,987036.10990147,209202.28472921,"5 AV","E 22 ST",1146,"POINT (-73.9897710651 40.7409315818)"
